"Časová značka","Kolik vám je let?","Jaké je vaše pohlaví?","Jaké je vaše nejvyšší ukončené vzdělání?","Myslíte si, že víte co je syndrom vyhoření?","Které pocity patří k syndromu vyhoření?","Co si myslíte, že je syndrom vyhoření","Myslíte si, že stát má prevenční opatření, aby nenastal syndrom vyhoření?"
"2022/04/27 4:31:59 odp. GMT+2","do 18ti let","Muž","Základní škola","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 4:35:46 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 4:37:33 odp. GMT+2","18 - 30","Žena","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
"2022/04/27 4:45:29 odp. GMT+2","18 - 30","Muž","Odborné učiliště s výučním listem","Ano","Vyčerpanost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 5:20:18 odp. GMT+2","18 - 30","Žena","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 5:46:24 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 5:48:23 odp. GMT+2","18 - 30","Muž","Odborné učiliště s výučním listem","Ne","Vyčerpanost;Podrážděnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 6:15:07 odp. GMT+2","do 18ti let","Muž","Základní škola","Ne","Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
"2022/04/27 6:40:10 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 7:09:50 odp. GMT+2","do 18ti let","Žena","Základní škola","Ano","Vyčerpanost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 8:19:43 odp. GMT+2","18 - 30","Žena","Odborné učiliště s výučním listem","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 9:13:36 odp. GMT+2","41-50","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 9:55:45 odp. GMT+2","18 - 30","Muž","Vyšší odborné vzdělání","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 10:02:52 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
